연월,일,시군구,법정동,번지,지목,용도지역,도로조건,계약면적_m2,거래금액_만원,지분구분,해제일,거래유형,중개사소재지,지구포함
201812,31,경기도 광명시,가학동,1**,전,자연녹지지역,8m미만,1752.00,76000,,-,-,-,1
201812,27,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,99.00,2293,지분,-,-,-,1
201812,27,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,165.00,3900,지분,-,-,-,1
201812,26,경기도 광명시,가학동,산1**,임야,자연녹지지역,8m미만,331.00,6800,지분,-,-,-,1
201812,24,경기도 광명시,노온사동,산1**,임야,자연녹지지역,-,165.00,4350,지분,-,-,-,1
201812,21,경기도 광명시,가학동,5*,전,자연녹지지역,-,2790.00,84400,,-,-,-,1
201812,21,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,66.11,780,지분,-,-,-,1
201812,21,경기도 광명시,가학동,산4*,임야,자연녹지지역,8m미만,66.83,1800,지분,-,-,-,1
201812,20,경기도 광명시,노온사동,산2**,임야,자연녹지지역,-,9.90,222,지분,-,-,-,1
201812,20,경기도 광명시,가학동,산3*,임야,자연녹지지역,25m미만,330.58,8900,지분,-,-,-,1
201812,19,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,330.00,7800,지분,-,-,-,1
201812,19,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,198.00,4586,지분,-,-,-,1
201812,17,경기도 광명시,일직동,산6*,임야,개발제한구역,-,66.00,3000,지분,-,-,-,0
201812,14,경기도 광명시,광명동,3**,잡종지,제2종일반주거지역,-,2.00,447,,-,-,-,1
201812,14,경기도 광명시,가학동,3**,임야,자연녹지지역,-,363.00,18590,지분,-,-,-,1
201812,14,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,165.29,1950,지분,-,-,-,1
201812,14,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,99.17,1170,지분,-,-,-,1
201812,14,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,330.58,3900,지분,-,-,-,1
201812,14,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,115.71,1365,지분,-,-,-,1
201812,14,경기도 광명시,노온사동,산2*,임야,개발제한구역,-,198.35,2500,지분,-,-,-,1
201812,14,경기도 광명시,광명동,3**,잡종지,제2종일반주거지역,-,6.00,1341,,-,-,-,1
201812,14,경기도 광명시,광명동,3**,대,제2종일반주거지역,8m미만,26.00,8057,,-,-,-,1
201812,13,경기도 광명시,소하동,3**,전,제1종일반주거지역,8m미만,482.40,33787,지분,-,-,-,0
201812,13,경기도 광명시,가학동,산4*,임야,자연녹지지역,25m미만,1024.80,22320,지분,-,-,-,1
201812,12,경기도 광명시,노온사동,산1**,임야,자연녹지지역,-,331.00,8700,지분,-,-,-,1
201812,12,경기도 광명시,광명동,2**,도로,제2종일반주거지역,8m미만,18.00,3500,,-,-,-,1
201812,11,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,198.35,2340,지분,-,-,-,1
201812,11,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,99.17,1170,지분,-,-,-,1
201812,11,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,66.11,780,지분,-,-,-,1
201812,11,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,66.11,780,지분,-,-,-,1
201812,11,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,99.17,1170,지분,-,-,-,1
201812,10,경기도 광명시,노온사동,9**,답,자연녹지지역,-,331.00,17000,,-,-,-,1
201812,10,경기도 광명시,노온사동,9**,답,자연녹지지역,-,331.00,17000,,-,-,-,1
201812,07,경기도 광명시,노온사동,산1**,임야,자연녹지지역,8m미만,165.00,5200,지분,-,-,-,1
201812,06,경기도 광명시,노온사동,산1**,임야,자연녹지지역,8m미만,165.00,5200,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,답,자연녹지지역,-,667.00,21186,,-,-,-,1
201812,05,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,62.80,741,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,99.00,2340,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,132.00,3058,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,231.00,5351,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,50.00,1170,지분,-,-,-,1
201812,05,경기도 광명시,노온사동,7**,전,자연녹지지역,8m미만,4020.00,255000,,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,답,자연녹지지역,-,667.00,21186,,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,답,자연녹지지역,-,759.00,24108,,-,-,-,1
201812,05,경기도 광명시,노온사동,6**,답,자연녹지지역,-,333.00,10577,,-,-,-,1
201812,04,경기도 광명시,가학동,3*,전,자연녹지지역,8m미만,813.00,24000,,-,-,-,1
201812,04,경기도 광명시,노온사동,7**,답,자연녹지지역,8m미만,115.00,4000,,-,-,-,1
201812,04,경기도 광명시,노온사동,7**,답,자연녹지지역,8m미만,47.00,2500,,-,-,-,1
201812,04,경기도 광명시,소하동,9**,대,제2종일반주거지역,25m이상,4.00,1710,,-,-,-,0
201812,03,경기도 광명시,노온사동,산2**,임야,개발제한구역,-,36.36,429,지분,-,-,-,1
201812,01,경기도 광명시,노온사동,산7*,임야,개발제한구역,8m미만,168.00,1102,지분,-,-,-,1
201811,30,경기도 광명시,노온사동,산1**,임야,자연녹지지역,8m미만,198.00,6240,지분,-,-,-,1
201811,29,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,165.00,3900,지분,-,-,-,1
201811,29,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,119.00,2752,지분,-,-,-,1
201811,28,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,182.00,4290,지분,-,-,-,1
201811,28,경기도 광명시,노온사동,6**,임야,자연녹지지역,-,165.00,3822,지분,-,-,-,1
201811,27,경기도 광명시,가학동,산4*,임야,자연녹지지역,8m미만,1589.51,17700,지분,-,-,-,1
201811,26,경기도 광명시,가학동,3**,임야,자연녹지지역,-,992.00,48000,,-,-,-,1
201811,26,경기도 광명시,가학동,산2*,임야,개발제한구역,8m미만,100.83,537,지분,-,-,-,1
201811,26,경기도 광명시,가학동,산2*,임야,개발제한구역,8m미만,330.76,1690,지분,-,-,-,1
201811,26,경기도 광명시,가학동,2**,임야,자연녹지지역,-,1074.00,21000,지분,-,-,-,1
201811,25,경기도 광명시,가학동,산8*,임야,개발제한구역,-,198.00,1135,지분,-,-,-,1
201811,23,경기도 광명시,광명동,1**,도로,제2종일반주거지역,8m미만,1.38,92,지분,-,-,-,1
201811,23,경기도 광명시,노온사동,산1**,임야,자연녹지지역,8m미만,561.00,11850,지분,-,-,-,1
201811,19,경기도 광명시,소하동,산2*,임야,제1종일반주거지역,-,108.00,5000,,-,-,-,0
201811,15,경기도 광명시,가학동,산9*,임야,자연녹지지역,-,2024.00,38570,,-,-,-,1
201811,15,경기도 광명시,가학동,8**,전,자연녹지지역,-,330.00,12000,지분,-,-,-,1
201811,15,경기도 광명시,가학동,산9*,임야,자연녹지지역,-,1297.00,24700,,-,-,-,1
201811,13,경기도 광명시,노온사동,산1**,임야,자연녹지지역,-,165.00,4350,지분,-,-,-,1
201811,13,경기도 광명시,가학동,산3*,임야,자연녹지지역,25m미만,99.17,2620,지분,-,-,-,1
201811,12,경기도 광명시,광명동,2**,도로,제2종일반주거지역,8m미만,24.00,5760,지분,-,-,-,1
201811,12,경기도 광명시,노온사동,산1**,임야,자연녹지지역,-,66.00,1740,지분,-,-,-,1
201811,09,경기도 광명시,노온사동,6**,전,자연녹지지역,8m미만,1396.00,66290,,-,-,-,1
201811,08,경기도 광명시,노온사동,산1**,임야,자연녹지지역,-,132.00,3480,지분,-,-,-,1
201811,08,경기도 광명시,가학동,산2*,임야,개발제한구역,8m미만,376.86,2041,지분,-,-,-,1
201811,07,경기도 광명시,옥길동,4**,답,자연녹지지역,8m미만,69.00,6000,,-,-,-,1
201811,07,경기도 광명시,일직동,산6*,임야,개발제한구역,-,66.00,3000,지분,-,-,-,0
