연월,일,시군구,법정동,번지,지목,용도지역,도로조건,계약면적_m2,거래금액_만원,지분구분,해제일,거래유형,중개사소재지,지구포함,지구
201612,30,부천시 오정구,고강동,3**,전,제2종일반주거지역,8m미만,146.50,27982,,-,-,-,0,
201612,29,부천시 오정구,삼정동,2**,공장용지,일반공업지역,-,143.10,27475,,-,-,-,1,부천대장
201612,27,부천시 오정구,원종동,산7*,임야,개발제한구역,8m미만,2145.00,18018,,-,-,-,1,부천대장
201612,24,부천시 오정구,원종동,3**,도로,일반상업지역,-,1.92,100,지분,-,-,-,1,부천대장
201612,21,부천시 오정구,대장동,4**,답,개발제한구역,8m미만,1983.00,37800,,-,-,-,1,부천대장
201612,20,부천시 오정구,오정동,3**,대,생산녹지지역,8m미만,117.00,37500,,-,-,-,1,부천대장
201612,20,부천시 오정구,오정동,3**,대,제2종일반주거지역,8m미만,153.00,37500,,-,-,-,1,부천대장
201612,20,부천시 오정구,오정동,3**,대,생산녹지지역,8m미만,150.00,37500,,-,-,-,1,부천대장
201612,20,부천시 오정구,오정동,3**,대,제2종일반주거지역,8m미만,162.00,37500,,-,-,-,1,부천대장
201612,17,부천시 오정구,원종동,2**,대,제2종일반주거지역,12m미만,11.84,3000,지분,-,-,-,1,부천대장
201612,14,부천시 오정구,고강동,3**,대,제2종일반주거지역,12m미만,667.80,170000,,-,-,-,0,
201612,14,부천시 오정구,대장동,4**,답,개발제한구역,8m미만,1983.00,38400,,-,-,-,1,부천대장
201612,14,부천시 오정구,대장동,3**,답,개발제한구역,8m미만,2210.00,43454,,-,-,-,1,부천대장
201612,10,부천시 오정구,내동,1*,도로,제2종일반주거지역,12m미만,29.03,1400,지분,-,-,-,0,
201612,10,부천시 오정구,내동,1*,대,제2종일반주거지역,12m미만,29.03,1400,지분,-,-,-,0,
201612,01,부천시 오정구,오정동,1**,잡종지,자연녹지지역,8m미만,4.00,960,,-,-,-,1,부천대장
201612,01,부천시 오정구,오정동,1**,도로,자연녹지지역,8m미만,15.00,3600,지분,-,-,-,1,부천대장
201611,30,부천시 오정구,대장동,3**,답,개발제한구역,8m미만,4258.00,70840,,-,-,-,1,부천대장
201611,30,부천시 오정구,대장동,4**,답,개발제한구역,8m미만,1983.00,39000,,-,-,-,1,부천대장
201611,29,부천시 오정구,고강동,3**,대,제2종일반주거지역,12m미만,172.20,57200,,-,-,-,0,
201611,28,부천시 오정구,원종동,3**,임야,일반상업지역,12m미만,608.00,185136,,-,-,-,1,부천대장
201611,25,부천시 오정구,고강동,3**,대,제2종일반주거지역,8m미만,122.80,29717,,-,-,-,0,
201611,25,부천시 오정구,고강동,2**,대,제2종일반주거지역,8m미만,14.00,850,,-,-,-,0,
201611,25,부천시 오정구,삼정동,3**,도로,제2종일반주거지역,-,45.00,8000,,-,-,-,1,부천대장
201611,25,부천시 오정구,고강동,2**,대,제2종일반주거지역,-,58.00,3550,,-,-,-,0,
201611,25,부천시 오정구,고강동,2**,답,개발제한구역,8m미만,1064.00,19260,,-,-,-,0,
201611,25,부천시 오정구,고강동,2**,대,개발제한구역,8m미만,16.00,2000,,-,-,-,0,
201611,24,부천시 오정구,고강동,3**,대,제2종일반주거지역,8m미만,122.80,28860,,-,-,-,0,
201611,23,부천시 오정구,여월동,1**,임야,제1종일반주거지역,8m미만,155.33,20500,지분,-,-,-,0,
201611,23,부천시 오정구,여월동,1**,임야,개발제한구역,25m이상,262.00,6000,지분,-,-,-,0,
