연월,일,시군구,법정동,번지,지목,용도지역,도로조건,계약면적_m2,거래금액_만원,지분구분,해제일,거래유형,중개사소재지,지구포함,지구
201812,31,안산시 상록구,양상동,산3*,임야,개발제한구역,-,165.00,725,지분,-,-,-,0,
201812,31,안산시 상록구,장하동,6*,전,개발제한구역,8m미만,825.00,17500,,-,-,-,0,
201812,29,안산시 상록구,팔곡이동,1**,답,개발제한구역,8m미만,2717.00,42744,,-,-,-,0,
201812,28,안산시 상록구,일동,산5*,임야,보전녹지지역,-,1617.00,18600,,-,-,-,0,
201812,28,안산시 상록구,일동,산5*,임야,보전녹지지역,8m미만,1617.00,18600,,-,-,-,0,
201812,28,안산시 상록구,일동,산5*,임야,보전녹지지역,8m미만,2072.00,30000,,-,-,-,0,
201812,28,안산시 상록구,일동,산5*,임야,보전녹지지역,8m미만,5114.00,55800,,-,-,-,0,
201812,27,안산시 상록구,팔곡일동,1*,대,개발제한구역,8m미만,32.50,1580,지분,-,-,-,0,
201812,27,안산시 상록구,사동,산1**,임야,보전녹지지역,-,109.00,1779,지분,-,-,-,0,
201812,27,안산시 상록구,팔곡일동,1*,목장용지,개발제한구역,8m미만,148.00,2180,지분,-,-,-,0,
201812,27,안산시 상록구,팔곡일동,산3*,임야,개발제한구역,8m미만,165.00,2400,지분,-,-,-,0,
201812,27,안산시 상록구,팔곡일동,1*,대,개발제한구역,8m미만,46.00,2240,지분,-,-,-,0,
201812,27,안산시 상록구,팔곡일동,1*,잡종지,개발제한구역,8m미만,69.50,1030,지분,-,-,-,0,
201812,27,안산시 상록구,사사동,산1*,임야,개발제한구역,8m미만,165.00,1579,지분,-,-,-,1,의왕군포안산
201812,27,안산시 상록구,팔곡일동,1*,잡종지,개발제한구역,8m미만,43.00,640,지분,-,-,-,0,
201812,26,안산시 상록구,부곡동,1*,전,개발제한구역,8m미만,660.00,14000,,-,-,-,0,의왕군포안산
201812,26,안산시 상록구,사사동,4**,전,개발제한구역,8m미만,6298.00,94380,,-,-,-,1,의왕군포안산
201812,26,안산시 상록구,사사동,4**,전,개발제한구역,8m미만,1127.00,4830,,-,-,-,1,의왕군포안산
