"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 광명시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 광명시 광명동","7*","대","제2종일반주거지역","8m미만","202212","30","29.15","35,825","","-","중개거래","경기 광명시"
"2","경기도 광명시 광명동","3**","도로","제2종일반주거지역","8m미만","202212","27","5.00","1,000","지분","-","직거래","-"
"3","경기도 광명시 광명동","1**","대","제2종일반주거지역","8m미만","202212","27","30.80","38,370","지분","-","중개거래","경기 광명시"
"4","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"5","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","16.50","900","지분","-","직거래","-"
"6","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"7","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","23.10","1,260","지분","-","직거래","-"
"8","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"9","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","20.30","1,080","지분","-","직거래","-"
"10","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","66.00","3,600","지분","-","직거래","-"
"11","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"12","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
"13","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","66.00","3,600","지분","-","직거래","-"
"14","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","13.20","720","지분","-","직거래","-"
"15","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
"16","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","59.40","3,240","지분","-","직거래","-"
"17","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"18","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
"19","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","39.60","2,160","지분","-","직거래","-"
"20","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
"21","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","23.10","1,260","지분","-","직거래","-"
"22","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","26.40","1,440","지분","-","직거래","-"
"23","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
"24","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"25","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","13.20","720","지분","-","직거래","-"
"26","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","19.80","1,080","지분","-","직거래","-"
"27","경기도 광명시 일직동","산7*","임야","개발제한구역","25m이상","202212","19","33.00","1,800","지분","-","직거래","-"
