"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 시흥시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 시흥시 신천동","7**","대","일반상업지역","8m미만","202012","31","395.60","221,200","","-","-","-"
"2","경기도 시흥시 과림동","3**","전","제1종일반주거지역","8m미만","202012","31","108.00","19,450","","-","-","-"
"3","경기도 시흥시 죽율동","5**","전","개발제한구역","8m미만","202012","31","1025.00","29,766","","-","-","-"
"4","경기도 시흥시 계수동","4**","전","개발제한구역","25m미만","202012","31","1098.00","116,200","","-","-","-"
"5","경기도 시흥시 월곶동","6**","대","관리지역","-","202012","31","129.00","13,650","","-","-","-"
"6","경기도 시흥시 월곶동","6**","대","관리지역","-","202012","31","396.00","60,000","","-","-","-"
"7","경기도 시흥시 거모동","2**","전","개발제한구역","8m미만","202012","31","2678.00","65,500","","-","-","-"
"8","경기도 시흥시 하상동","2*","답","개발제한구역","8m미만","202012","31","1382.00","23,199","","-","-","-"
"9","경기도 시흥시 하상동","2*","답","개발제한구역","8m미만","202012","31","557.00","9,324","","-","-","-"
"10","경기도 시흥시 과림동","4**","답","자연녹지지역","8m미만","202012","31","1528.00","93,000","","-","-","-"
"11","경기도 시흥시 정왕동","2**","전","제1종일반주거지역","-","202012","31","407.00","28,000","","-","-","-"
"12","경기도 시흥시 정왕동","8**","철도용지","개발제한구역","8m미만","202012","30","33.00","530","지분","-","-","-"
"13","경기도 시흥시 정왕동","2**","대","제1종일반주거지역","8m미만","202012","30","334.00","33,000","","-","-","-"
"14","경기도 시흥시 미산동","6*","전","개발제한구역","8m미만","202012","30","502.50","10,000","지분","-","-","-"
"15","경기도 시흥시 미산동","6*","구거","개발제한구역","8m미만","202012","30","109.00","2,000","지분","-","-","-"
"16","경기도 시흥시 매화동","2**","전","개발제한구역","8m미만","202012","30","1811.00","65,500","","-","-","-"
"17","경기도 시흥시 정왕동","2***","대","용도미지정","-","202012","29","7231.10","3,300,000","","-","-","-"
"18","경기도 시흥시 포동","6*","유지","개발제한구역","8m미만","202012","29","216.73","6,837","","-","-","-"
"19","경기도 시흥시 포동","6*","제방","제1종일반주거지역","8m미만","202012","29","10.68","337","","-","-","-"
"20","경기도 시흥시 포동","6*","제방","제1종일반주거지역","8m미만","202012","29","3.68","116","","-","-","-"
"21","경기도 시흥시 신천동","5**","답","개발제한구역","-","202012","29","95.00","7,700","","-","-","-"
"22","경기도 시흥시 신천동","5**","답","개발제한구역","8m미만","202012","29","200.00","16,300","","-","-","-"
"23","경기도 시흥시 신천동","5**","답","개발제한구역","8m미만","202012","29","200.00","16,300","","20210618","-","-"
"24","경기도 시흥시 신천동","5**","답","개발제한구역","-","202012","29","95.00","7,700","","20210618","-","-"
"25","경기도 시흥시 정왕동","2***","대","용도미지정","25m이상","202012","29","8343.00","4,000,000","","-","-","-"
"26","경기도 시흥시 대야동","*","잡종지","개발제한구역","-","202012","29","10.00","100","지분","-","-","-"
"27","경기도 시흥시 금이동","5**","전","개발제한구역","-","202012","28","848.00","25,643","","-","-","-"
"28","경기도 시흥시 거모동","산2*","임야","개발제한구역","-","202012","28","949.00","2,400","","-","-","-"
"29","경기도 시흥시 정왕동","5**","전","개발제한구역","12m미만","202012","28","2836.00","85,800","","-","-","-"
"30","경기도 시흥시 미산동","1**","전","개발제한구역","8m미만","202012","28","1653.00","59,000","","-","-","-"
"31","경기도 시흥시 금이동","5**","전","개발제한구역","8m미만","202012","28","154.00","4,657","지분","-","-","-"
"32","경기도 시흥시 금이동","*","전","용도미지정","-","202012","28","1091.00","39,600","","-","-","-"
"33","경기도 시흥시 금이동","5**","전","개발제한구역","8m미만","202012","28","1002.00","30,300","지분","20210217","-","-"
"34","경기도 시흥시 대야동","6*","전","개발제한구역","-","202012","28","221.00","5,800","","-","-","-"
"35","경기도 시흥시 대야동","2**","답","개발제한구역","8m미만","202012","28","1759.00","38,500","","-","-","-"
"36","경기도 시흥시 월곶동","2*","도로","개발제한구역","8m미만","202012","26","76.00","1,000","지분","-","-","-"
"37","경기도 시흥시 신천동","5**","전","개발제한구역","8m미만","202012","26","1129.00","47,700","","-","-","-"
"38","경기도 시흥시 거모동","5**","전","개발제한구역","8m미만","202012","25","1293.00","35,000","","-","-","-"
"39","경기도 시흥시 하중동","7**","답","개발제한구역","8m미만","202012","24","4007.00","39,270","","-","-","-"
"40","경기도 시흥시 방산동","7**","전","개발제한구역","-","202012","24","1061.00","28,000","","20210108","-","-"
"41","경기도 시흥시 과림동","7**","전","자연녹지지역","-","202012","24","1147.00","64,195","","-","-","-"
"42","경기도 시흥시 안현동","4**","목장용지","개발제한구역","8m미만","202012","24","251.20","4,950","지분","-","-","-"
"43","경기도 시흥시 안현동","4**","목장용지","개발제한구역","8m미만","202012","24","450.00","8,850","","-","-","-"
"44","경기도 시흥시 안현동","4**","목장용지","개발제한구역","8m미만","202012","24","431.80","8,500","지분","-","-","-"
"45","경기도 시흥시 하중동","7**","답","개발제한구역","8m미만","202012","24","2017.00","33,000","","-","-","-"
"46","경기도 시흥시 하중동","7**","답","개발제한구역","8m미만","202012","24","645.00","6,444","","-","-","-"
"47","경기도 시흥시 하중동","7**","답","개발제한구역","8m미만","202012","24","4028.00","40,240","","-","-","-"
"48","경기도 시흥시 방산동","7**","전","개발제한구역","-","202012","24","1061.00","28,000","","-","-","-"
"49","경기도 시흥시 정왕동","2***","대","제1종전용주거지역","25m미만","202012","24","274.60","23,900","","-","-","-"
"50","경기도 시흥시 죽율동","6**","전","개발제한구역","12m미만","202012","24","344.00","19,789","","-","-","-"
"51","경기도 시흥시 죽율동","6**","전","개발제한구역","12m미만","202012","24","182.00","10,470","","-","-","-"
"52","경기도 시흥시 죽율동","6**","전","개발제한구역","8m미만","202012","24","473.00","23,868","","-","-","-"
"53","경기도 시흥시 죽율동","6**","도로","개발제한구역","8m미만","202012","24","17.00","215","","-","-","-"
"54","경기도 시흥시 죽율동","6**","도로","개발제한구역","8m미만","202012","24","52.00","658","","-","-","-"
"55","경기도 시흥시 방산동","5*","전","개발제한구역","8m미만","202012","24","1759.00","38,500","","-","-","-"
"56","경기도 시흥시 대야동","*","대","개발제한구역","8m미만","202012","23","2.00","200","","-","-","-"
"57","경기도 시흥시 미산동","3**","도로","제1종일반주거지역","8m미만","202012","23","4.00","275","","-","-","-"
"58","경기도 시흥시 미산동","3**","도로","제1종일반주거지역","8m미만","202012","23","30.00","2,060","","-","-","-"
"59","경기도 시흥시 월곶동","5**","전","개발제한구역","-","202012","23","1082.00","30,400","","-","-","-"
"60","경기도 시흥시 도창동","4**","전","개발제한구역","-","202012","23","305.56","3,900","지분","-","-","-"
"61","경기도 시흥시 방산동","5**","전","제1종일반주거지역","8m미만","202012","23","103.95","5,702","지분","-","-","-"
"62","경기도 시흥시 방산동","5**","전","제1종일반주거지역","8m미만","202012","23","51.43","2,821","지분","-","-","-"
"63","경기도 시흥시 죽율동","2**","답","개발제한구역","8m미만","202012","23","1234.00","21,634","","-","-","-"
"64","경기도 시흥시 정왕동","2***","대","제1종일반주거지역","25m미만","202012","23","339.30","36,000","","-","-","-"
"65","경기도 시흥시 대야동","*","도로","개발제한구역","-","202012","23","66.00","2,000","","-","-","-"
"66","경기도 시흥시 금이동","*","전","개발제한구역","8m미만","202012","22","4271.00","120,000","","-","-","-"
"67","경기도 시흥시 정왕동","2***","대","제1종일반주거지역","25m미만","202012","22","373.30","39,000","","-","-","-"
"68","경기도 시흥시 도창동","3**","답","개발제한구역","8m미만","202012","22","82.00","4,000","지분","20210217","-","-"
"69","경기도 시흥시 정왕동","3**","전","개발제한구역","8m미만","202012","22","1570.00","25,000","","-","-","-"
"70","경기도 시흥시 금이동","5**","전","개발제한구역","8m미만","202012","22","1249.00","41,560","지분","20210217","-","-"
"71","경기도 시흥시 하중동","6**","답","개발제한구역","8m미만","202012","22","1820.00","35,780","","-","-","-"
"72","경기도 시흥시 금이동","5**","전","개발제한구역","-","202012","22","1095.00","36,436","","-","-","-"
"73","경기도 시흥시 금이동","5**","전","개발제한구역","8m미만","202012","22","154.00","5,124","지분","-","-","-"
"74","경기도 시흥시 물왕동","3**","전","개발제한구역","8m미만","202012","21","159.00","4,096","지분","-","-","-"
"75","경기도 시흥시 물왕동","3**","전","개발제한구역","8m미만","202012","21","158.00","4,066","지분","-","-","-"
"76","경기도 시흥시 물왕동","3**","전","개발제한구역","8m미만","202012","21","66.00","1,698","지분","-","-","-"
"77","경기도 시흥시 물왕동","3**","전","개발제한구역","8m미만","202012","21","67.00","1,726","지분","-","-","-"
"78","경기도 시흥시 물왕동","3**","전","용도미지정","-","202012","21","2027.00","52,218","","-","-","-"
"79","경기도 시흥시 미산동","1**","대","관리지역","-","202012","21","43.07","6,700","지분","-","-","-"
"80","경기도 시흥시 물왕동","3**","전","관리지역","-","202012","21","1628.00","41,896","","-","-","-"
"81","경기도 시흥시 거모동","6**","전","제1종일반주거지역","12m미만","202012","21","19.00","1,500","지분","-","-","-"
"82","경기도 시흥시 논곡동","1**","전","개발제한구역","25m이상","202012","21","2831.00","154,100","지분","-","-","-"
"83","경기도 시흥시 매화동","7**","답","개발제한구역","8m미만","202012","20","3183.00","52,900","","-","-","-"
"84","경기도 시흥시 화정동","6**","전","개발제한구역","-","202012","20","2413.00","58,000","","-","-","-"
"85","경기도 시흥시 정왕동","2***","대","제1종일반주거지역","25m미만","202012","18","350.50","37,300","","-","-","-"
"86","경기도 시흥시 정왕동","2***","대","제1종일반주거지역","25m미만","202012","18","165.20","15,500","지분","-","-","-"
"87","경기도 시흥시 거모동","5**","전","개발제한구역","-","202012","17","1362.00","59,000","","-","-","-"
"88","경기도 시흥시 안현동","4**","전","개발제한구역","8m미만","202012","17","662.00","23,000","지분","-","-","-"
"89","경기도 시흥시 안현동","4**","전","개발제한구역","8m미만","202012","17","1024.88","35,650","지분","-","-","-"
"90","경기도 시흥시 화정동","6**","전","개발제한구역","8m미만","202012","17","1160.00","21,000","","-","-","-"
"91","경기도 시흥시 거모동","5**","전","개발제한구역","12m미만","202012","17","2267.00","123,000","","-","-","-"
"92","경기도 시흥시 안현동","4**","전","개발제한구역","8m미만","202012","17","1368.12","47,610","지분","-","-","-"
"93","경기도 시흥시 산현동","산5*","임야","개발제한구역","-","202012","17","99.00","1,260","지분","20210126","-","-"
"94","경기도 시흥시 산현동","산5*","임야","개발제한구역","-","202012","17","99.00","1,260","지분","20210126","-","-"
"95","경기도 시흥시 월곶동","4**","도로","제1종일반주거지역","8m미만","202012","17","22.00","881","","-","-","-"
"96","경기도 시흥시 월곶동","4**","도로","제1종일반주거지역","8m미만","202012","17","62.00","2,484","","-","-","-"
"97","경기도 시흥시 월곶동","4**","도로","제1종일반주거지역","8m미만","202012","17","2.00","80","","-","-","-"
"98","경기도 시흥시 월곶동","4**","도로","제1종일반주거지역","8m미만","202012","17","78.00","3,125","","-","-","-"
"99","경기도 시흥시 월곶동","4**","도로","제1종일반주거지역","8m미만","202012","17","2.00","80","","-","-","-"
"100","경기도 시흥시 월곶동","4**","답","개발제한구역","8m미만","202012","17","2.00","60","","-","-","-"
"101","경기도 시흥시 월곶동","4**","답","제1종일반주거지역","8m미만","202012","17","722.00","60,820","","-","-","-"
"102","경기도 시흥시 거모동","5**","전","개발제한구역","8m미만","202012","17","641.00","34,000","","-","-","-"
"103","경기도 시흥시 월곶동","9**","답","개발제한구역","8m미만","202012","16","1935.00","47,800","","-","-","-"
"104","경기도 시흥시 죽율동","1**","전","개발제한구역","-","202012","16","1200.00","22,800","","-","-","-"
"105","경기도 시흥시 하중동","1**","전","개발제한구역","8m미만","202012","15","999.00","30,000","","-","-","-"
"106","경기도 시흥시 과림동","6**","도로","제1종일반주거지역","8m미만","202012","15","11.00","3,490","","-","-","-"
"107","경기도 시흥시 과림동","6**","대","제1종일반주거지역","8m미만","202012","15","4237.00","882,970","","-","-","-"
"108","경기도 시흥시 과림동","7**","전","관리지역","-","202012","15","1051.00","45,605","","-","-","-"
"109","경기도 시흥시 과림동","7**","전","자연녹지지역","-","202012","15","1147.00","64,195","","20210116","-","-"
"110","경기도 시흥시 월곶동","1*","전","개발제한구역","8m미만","202012","15","992.00","30,000","","-","-","-"
"111","경기도 시흥시 논곡동","9*","임야","개발제한구역","8m미만","202012","15","3305.00","40,000","지분","-","-","-"
"112","경기도 시흥시 대야동","*","대","개발제한구역","8m미만","202012","15","278.00","24,111","","-","-","-"
"113","경기도 시흥시 정왕동","8**","전","개발제한구역","8m미만","202012","15","331.00","7,000","","-","-","-"
"114","경기도 시흥시 대야동","*","도로","개발제한구역","-","202012","15","66.00","1,889","","-","-","-"
"115","경기도 시흥시 방산동","3*","전","개발제한구역","-","202012","14","2378.00","71,900","","-","-","-"
"116","경기도 시흥시 무지내동","1**","전","자연녹지지역","8m미만","202012","14","1096.00","65,960","","-","-","-"
"117","경기도 시흥시 계수동","5**","전","관리지역","8m미만","202012","14","1025.00","26,600","","-","-","-"
"118","경기도 시흥시 무지내동","1**","전","자연녹지지역","8m미만","202012","14","233.00","14,040","","-","-","-"
"119","경기도 시흥시 물왕동","3**","답","개발제한구역","8m미만","202012","12","2390.00","50,600","","-","-","-"
"120","경기도 시흥시 금이동","1**","전","개발제한구역","8m미만","202012","12","1418.00","64,000","","20210218","-","-"
"121","경기도 시흥시 방산동","8**","답","개발제한구역","8m미만","202012","12","1641.00","35,000","","-","-","-"
"122","경기도 시흥시 대야동","1*","전","개발제한구역","-","202012","11","30.00","1,000","","-","-","-"
"123","경기도 시흥시 대야동","1*","전","개발제한구역","8m미만","202012","11","4.00","120","","-","-","-"
"124","경기도 시흥시 대야동","1*","전","개발제한구역","8m미만","202012","11","3477.00","118,900","","-","-","-"
"125","경기도 시흥시 은행동","6**","대","제1종일반주거지역","12m미만","202012","11","240.10","57,000","","-","-","-"
"126","경기도 시흥시 대야동","1*","전","개발제한구역","-","202012","11","33.00","1,100","","-","-","-"
"127","경기도 시흥시 대야동","1*","전","개발제한구역","8m미만","202012","11","128.00","3,880","","-","-","-"
"128","경기도 시흥시 방산동","2**","도로","제1종일반주거지역","8m미만","202012","10","19.00","1,000","","-","-","-"
"129","경기도 시흥시 무지내동","3**","답","용도미지정","-","202012","10","2.00","400","지분","-","-","-"
"130","경기도 시흥시 목감동","1**","전","개발제한구역","8m미만","202012","10","325.00","17,000","","20210107","-","-"
"131","경기도 시흥시 물왕동","2**","답","개발제한구역","8m미만","202012","10","2334.00","45,890","","-","-","-"
"132","경기도 시흥시 무지내동","3**","답","용도미지정","-","202012","10","1.00","200","지분","-","-","-"
"133","경기도 시흥시 무지내동","3**","답","관리지역","-","202012","10","473.00","98,530","","-","-","-"
"134","경기도 시흥시 장현동","1**","답","개발제한구역","8m미만","202012","10","165.00","10,000","지분","-","-","-"
"135","경기도 시흥시 무지내동","3**","답","용도미지정","-","202012","10","33.00","6,870","지분","-","-","-"
"136","경기도 시흥시 죽율동","5**","전","개발제한구역","8m미만","202012","10","10979.00","229,461","","-","-","-"
"137","경기도 시흥시 물왕동","2**","답","개발제한구역","8m미만","202012","10","1620.00","31,850","","-","-","-"
"138","경기도 시흥시 거모동","4**","전","개발제한구역","-","202012","09","1302.00","36,450","","-","-","-"
"139","경기도 시흥시 과림동","산4*","임야","자연녹지지역","-","202012","09","1152.00","10,780","지분","-","-","-"
"140","경기도 시흥시 과림동","산4*","임야","자연녹지지역","-","202012","09","182.00","1,700","지분","-","-","-"
"141","경기도 시흥시 계수동","4**","전","개발제한구역","8m미만","202012","09","251.75","6,357","지분","-","-","-"
"142","경기도 시흥시 계수동","4**","전","개발제한구역","8m미만","202012","09","7.25","185","지분","-","-","-"
"143","경기도 시흥시 계수동","3**","전","개발제한구역","8m미만","202012","09","23.00","434","지분","-","-","-"
"144","경기도 시흥시 계수동","3**","전","개발제한구역","8m미만","202012","09","220.00","3,819","지분","-","-","-"
"145","경기도 시흥시 계수동","산1**","임야","개발제한구역","8m미만","202012","09","12.50","13","지분","-","-","-"
"146","경기도 시흥시 계수동","산1**","임야","개발제한구역","8m미만","202012","09","31.25","118","지분","-","-","-"
"147","경기도 시흥시 계수동","산1**","임야","개발제한구역","8m미만","202012","09","411.00","1,414","지분","-","-","-"
"148","경기도 시흥시 계수동","산1**","임야","개발제한구역","8m미만","202012","09","95.50","332","지분","-","-","-"
"149","경기도 시흥시 죽율동","4**","전","개발제한구역","-","202012","09","1061.00","20,000","","-","-","-"
"150","경기도 시흥시 거모동","4**","전","개발제한구역","-","202012","09","274.00","7,650","","-","-","-"
"151","경기도 시흥시 거모동","4**","전","개발제한구역","8m미만","202012","09","750.00","21,000","","-","-","-"
"152","경기도 시흥시 거모동","4**","전","개발제한구역","8m미만","202012","09","132.00","3,700","","-","-","-"
"153","경기도 시흥시 거모동","5**","전","개발제한구역","8m미만","202012","09","1161.00","35,000","지분","-","-","-"
"154","경기도 시흥시 도창동","2**","전","개발제한구역","8m미만","202012","09","494.00","11,750","","-","-","-"
"155","경기도 시흥시 매화동","8**","대","관리지역","25m미만","202012","09","299.30","80,500","","-","-","-"
"156","경기도 시흥시 조남동","3**","전","제1종일반주거지역","8m미만","202012","09","1527.00","115,000","","-","-","-"
"157","경기도 시흥시 장곡동","4**","답","개발제한구역","8m미만","202012","08","644.00","14,600","","-","-","-"
"158","경기도 시흥시 신천동","4**","전","개발제한구역","8m미만","202012","08","697.54","26,580","지분","20210511","-","-"
"159","경기도 시흥시 거모동","4**","대","제1종일반주거지역","8m미만","202012","08","248.00","40,920","","-","-","-"
"160","경기도 시흥시 거모동","4**","대","제1종일반주거지역","12m미만","202012","08","696.00","122,380","","-","-","-"
"161","경기도 시흥시 거모동","4**","전","제1종일반주거지역","8m미만","202012","08","126.00","15,200","","-","-","-"
"162","경기도 시흥시 신천동","4**","전","개발제한구역","-","202012","08","294.46","11,220","지분","20210511","-","-"
"163","경기도 시흥시 매화동","2**","전","개발제한구역","-","202012","08","1012.00","30,600","","-","-","-"
"164","경기도 시흥시 안현동","1**","전","관리지역","8m미만","202012","08","330.00","20,000","","-","-","-"
"165","경기도 시흥시 미산동","6**","전","개발제한구역","8m미만","202012","08","2034.00","36,815","","-","-","-"
"166","경기도 시흥시 장곡동","4**","답","개발제한구역","8m미만","202012","08","2717.00","59,990","","-","-","-"
"167","경기도 시흥시 거모동","8*","답","개발제한구역","-","202012","07","357.00","8,600","","-","-","-"
"168","경기도 시흥시 하중동","1**","전","개발제한구역","8m미만","202012","07","186.00","11,000","","-","-","-"
"169","경기도 시흥시 하중동","1**","전","개발제한구역","8m미만","202012","07","1127.00","68,000","","-","-","-"
"170","경기도 시흥시 거모동","8*","답","개발제한구역","-","202012","07","1435.00","34,700","","-","-","-"
"171","경기도 시흥시 과림동","6**","잡종지","제1종일반주거지역","8m미만","202012","07","99.00","35,000","","-","-","-"
"172","경기도 시흥시 도창동","4**","답","개발제한구역","8m미만","202012","06","2873.00","58,657","","-","-","-"
"173","경기도 시흥시 논곡동","1**","답","개발제한구역","8m미만","202012","06","523.00","19,750","","-","-","-"
"174","경기도 시흥시 장곡동","7*","답","개발제한구역","8m미만","202012","05","3996.00","96,700","","-","-","-"
"175","경기도 시흥시 안현동","3**","전","개발제한구역","8m미만","202012","05","1002.00","30,300","","-","-","-"
"176","경기도 시흥시 정왕동","6**","전","개발제한구역","12m미만","202012","05","1434.00","54,000","","-","-","-"
