"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 남양주시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 남양주시 화도읍 가곡리","4**","전","자연환경보전","-","202212","31","995.00","2,900","","-","중개거래","경기 남양주시"
"2","경기도 남양주시 일패동","산3*","임야","개발제한구역","8m미만","202212","30","2664.00","11,600","","-","직거래","-"
"3","경기도 남양주시 화도읍 묵현리","5**","임야","제1종일반주거지역","8m미만","202212","30","467.00","42,921","","-","직거래","-"
"4","경기도 남양주시 진건읍 송능리","6*","대","계획관리지역","-","202212","30","11.00","965","","-","직거래","-"
"5","경기도 남양주시 다산동","4***","대","제2종일반주거지역","12m미만","202212","30","18.00","9,072","","-","직거래","-"
"6","경기도 남양주시 진건읍 송능리","6*","대","계획관리지역","-","202212","30","16.00","1,404","","-","직거래","-"
"7","경기도 남양주시 별내면 광전리","산2*","임야","개발제한구역","-","202212","30","3800.00","4,100","지분","-","직거래","-"
"8","경기도 남양주시 오남읍 팔현리","산1**","임야","농림지역","8m미만","202212","30","2046.00","4,952","지분","-","직거래","-"
"9","경기도 남양주시 진건읍 송능리","6*","임야","보전관리지역","-","202212","30","165.00","14,475","","-","직거래","-"
"10","경기도 남양주시 진건읍 송능리","6*","답","계획관리지역","-","202212","30","5.00","439","","-","직거래","-"
"11","경기도 남양주시 화도읍 묵현리","5**","임야","제1종일반주거지역","8m미만","202212","30","48.00","3,579","","-","직거래","-"
"12","경기도 남양주시 일패동","산3*","임야","개발제한구역","8m미만","202212","30","2664.00","11,600","","-","직거래","-"
"13","경기도 남양주시 일패동","산3*","임야","개발제한구역","8m미만","202212","30","5327.00","23,200","","-","직거래","-"
"14","경기도 남양주시 화도읍 창현리","3**","답","제1종일반주거지역","8m미만","202212","29","1087.00","131,600","","-","중개거래","경기 남양주시"
"15","경기도 남양주시 와부읍 월문리","산1**","임야","농림지역","-","202212","29","39669.00","51,600","","-","직거래","-"
