"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 하남시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 하남시 감이동","산2*","임야","개발제한구역","8m미만","202012","31","35.00","2,968","지분","-","-","-"
"2","경기도 하남시 감이동","산2*","임야","개발제한구역","8m미만","202012","31","131.00","2,968","지분","-","-","-"
"3","경기도 하남시 초이동","산4*","임야","개발제한구역","8m미만","202012","31","16.50","1,251","지분","-","-","-"
"4","경기도 하남시 광암동","산5*","임야","개발제한구역","-","202012","31","635.00","15,000","","-","-","-"
"5","경기도 하남시 감이동","산2*","임야","개발제한구역","8m미만","202012","31","60.00","5,088","지분","-","-","-"
"6","경기도 하남시 감북동","산8*","임야","개발제한구역","8m미만","202012","31","29.00","390","지분","-","-","-"
"7","경기도 하남시 감이동","산2*","임야","개발제한구역","8m미만","202012","31","36.00","3,056","지분","-","-","-"
"8","경기도 하남시 창우동","2*","답","개발제한구역","8m미만","202012","30","761.00","59,850","","-","-","-"
"9","경기도 하남시 천현동","5**","하천","개발제한구역","8m미만","202012","30","126.00","9,204","","-","-","-"
"10","경기도 하남시 천현동","5**","잡종지","개발제한구역","8m미만","202012","30","2437.40","227,448","","-","-","-"
"11","경기도 하남시 미사동","4**","전","용도미지정","-","202012","30","694.00","42,000","","-","-","-"
"12","경기도 하남시 창우동","2*","잡종지","개발제한구역","8m미만","202012","30","200.00","29,249","","-","-","-"
"13","경기도 하남시 창우동","2*","도로","개발제한구역","8m미만","202012","30","2.00","44","","-","-","-"
"14","경기도 하남시 미사동","4**","임야","개발제한구역","8m미만","202012","30","1323.00","84,000","","-","-","-"
