"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 서초구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 서초구 방배동","5**","대","제2종일반주거지역","8m미만","202412","31","142.00","272,000","","-","중개거래","서울 서초구"
"2","서울특별시 서초구 양재동","산5*","임야","자연녹지지역","8m미만","202412","30","6.50","600","지분","-","직거래","-"
"3","서울특별시 서초구 반포동","8**","도로","제3종일반주거지역","25m미만","202412","28","18.50","153,355","지분","-","중개거래","서울 서초구"
"4","서울특별시 서초구 반포동","7**","대","제3종일반주거지역","25m미만","202412","28","62.45","517,816","지분","-","중개거래","서울 서초구"
"5","서울특별시 서초구 반포동","7**","대","제3종일반주거지역","25m미만","202412","28","14.86","123,237","지분","-","중개거래","서울 서초구"
"6","서울특별시 서초구 반포동","7**","도로","제3종일반주거지역","25m미만","202412","28","5.50","45,592","지분","-","중개거래","서울 서초구"
"7","서울특별시 서초구 방배동","5**","대","제2종일반주거지역","8m미만","202412","27","19.83","91,135","지분","-","중개거래","서울 서초구"
"8","서울특별시 서초구 방배동","5**","대","제2종일반주거지역","8m미만","202412","27","11.08","50,933","지분","-","중개거래","서울 서초구"
"9","서울특별시 서초구 방배동","5**","대","제2종일반주거지역","8m미만","202412","27","11.08","50,933","지분","-","중개거래","서울 서초구"
"10","서울특별시 서초구 방배동","4**","도로","제2종일반주거지역","8m미만","202412","26","64.00","22,816","","-","직거래","-"
