"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 의정부시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 의정부시 가능동","산2*","임야","개발제한구역","-","202412","27","330.00","950","지분","-","중개거래","전남 순천시"
"2","경기도 의정부시 민락동","산8*","임야","개발제한구역","-","202412","26","437.00","17,000","","-","직거래","-"
"3","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","26","330.00","11,697","","-","직거래","-"
"4","경기도 의정부시 민락동","4**","전","개발제한구역","-","202412","26","855.00","13,283","","-","직거래","-"
"5","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","26","60.00","2,945","지분","-","직거래","-"
"6","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","26","330.00","17,055","","-","직거래","-"
"7","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","26","60.00","2,020","지분","-","직거래","-"
"8","경기도 의정부시 금오동","3**","도로","제3종일반주거지역","-","202412","24","8.35","120","지분","-","직거래","-"
"9","경기도 의정부시 민락동","4**","전","개발제한구역","-","202412","19","2140.00","104,031","지분","-","직거래","-"
"10","경기도 의정부시 자일동","3**","도로","개발제한구역","25m이상","202412","19","143.28","1,000","지분","-","직거래","-"
"11","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","19","2036.00","107,892","지분","-","직거래","-"
"12","경기도 의정부시 민락동","4**","전","개발제한구역","8m미만","202412","19","71.00","3,762","지분","-","직거래","-"
"13","경기도 의정부시 의정부동","1**","대","일반상업지역","8m미만","202412","17","15.60","16,450","","-","중개거래","경기 양주시"
"14","경기도 의정부시 낙양동","산1**","임야","개발제한구역","-","202412","17","726.00","3,500","지분","-","직거래","-"
"15","경기도 의정부시 의정부동","3**","대","제2종일반주거지역","8m미만","202412","16","62.00","7,000","지분","-","직거래","-"
"16","경기도 의정부시 고산동","9*","전","개발제한구역","8m미만","202412","16","330.00","16,200","","-","중개거래","경기 의정부시"
"17","경기도 의정부시 가능동","6**","도로","제2종일반주거지역","12m미만","202412","16","3.30","800","지분","-","중개거래","경기 의정부시"
"18","경기도 의정부시 자일동","3*","전","개발제한구역","-","202412","13","1544.00","21,000","","-","중개거래","경기 의정부시"
"19","경기도 의정부시 녹양동","산*","임야","개발제한구역","8m미만","202412","10","7059.75","28,000","지분","-","중개거래","경기 양주시"
"20","경기도 의정부시 의정부동","1**","대","일반상업지역","12m미만","202412","09","115.00","149,761","","-","중개거래","경기 양주시"
"21","경기도 의정부시 의정부동","1**","대","일반상업지역","12m미만","202412","09","70.80","82,684","","-","중개거래","경기 양주시"
"22","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202412","05","668.00","30,060","","-","직거래","-"
"23","경기도 의정부시 자일동","3**","전","개발제한구역","8m미만","202412","05","132.00","5,940","","-","직거래","-"
"24","경기도 의정부시 의정부동","3**","대","제2종일반주거지역","8m미만","202412","04","61.00","15,000","지분","-","직거래","-"
"25","경기도 의정부시 가능동","5**","대","제1종일반주거지역","8m미만","202412","04","119.00","14,400","지분","-","중개거래","경기 의정부시"
"26","경기도 의정부시 가능동","4**","전","자연녹지지역","8m미만","202412","03","1558.00","134,600","","-","중개거래","서울 성동구"
"27","경기도 의정부시 가능동","4**","도로","자연녹지지역","8m미만","202412","03","18.00","400","","-","중개거래","서울 성동구"
"28","경기도 의정부시 의정부동","2**","도로","제2종일반주거지역","-","202412","03","10.00","2,420","지분","20250120","중개거래","경기 의정부시"
"29","경기도 의정부시 의정부동","2**","대","제2종일반주거지역","8m미만","202411","29","99.80","24,150","","20250120","중개거래","경기 의정부시"
"30","경기도 의정부시 의정부동","2**","도로","제2종일반주거지역","-","202411","29","11.00","2,650","지분","20250120","중개거래","경기 의정부시"
"31","경기도 의정부시 호원동","3**","구거","제2종일반주거지역","8m미만","202411","28","23.00","4,577","","-","직거래","-"
"32","경기도 의정부시 의정부동","1**","대","일반상업지역","8m미만","202411","27","2.77","2,557","지분","-","중개거래","경기 양주시"
"33","경기도 의정부시 자일동","3*","답","개발제한구역","-","202411","27","112.00","1,900","","-","직거래","-"
"34","경기도 의정부시 의정부동","1**","대","일반상업지역","25m미만","202411","27","80.00","40,000","","-","중개거래","경기 양주시"
"35","경기도 의정부시 가능동","6**","대","제2종일반주거지역","25m미만","202411","25","233.80","42,400","","-","직거래","-"
"36","경기도 의정부시 호원동","4**","대","제2종일반주거지역","25m이상","202411","19","90.86","29,400","지분","-","중개거래","경기 의정부시"
"37","경기도 의정부시 호원동","3**","대","제1종일반주거지역","8m미만","202411","18","40.00","12,500","","-","중개거래","경기 의정부시"
"38","경기도 의정부시 호원동","3**","대","제1종일반주거지역","8m미만","202411","18","68.55","21,497","지분","-","중개거래","경기 의정부시"
"39","경기도 의정부시 금오동","3**","대","제2종일반주거지역","25m이상","202411","18","185.00","38,000","","-","직거래","-"
"40","경기도 의정부시 호원동","3**","대","제1종일반주거지역","8m미만","202411","18","68.55","21,497","지분","-","중개거래","경기 의정부시"
"41","경기도 의정부시 자일동","2**","전","제1종일반주거지역","25m이상","202411","18","51.00","3,300","","-","직거래","-"
"42","경기도 의정부시 자일동","2**","답","제1종일반주거지역","-","202411","18","25.00","1,200","","-","직거래","-"
"43","경기도 의정부시 자일동","2**","답","제1종일반주거지역","-","202411","18","13.00","700","","-","직거래","-"
"44","경기도 의정부시 자일동","2**","답","제1종일반주거지역","-","202411","18","4.00","200","","-","직거래","-"
"45","경기도 의정부시 자일동","2**","주유소용지","제1종일반주거지역","-","202411","18","10.00","3,461","","-","직거래","-"
"46","경기도 의정부시 의정부동","2*","주차장","일반상업지역","8m미만","202411","17","186.40","100,000","","-","중개거래","경기 의정부시"
"47","경기도 의정부시 호원동","4**","대","제2종일반주거지역","25m이상","202411","15","194.51","61,000","지분","-","중개거래","경기 의정부시"
"48","경기도 의정부시 장암동","2**","임야","개발제한구역","-","202411","15","1178.00","70,000","","-","중개거래","경기 의정부시"
"49","경기도 의정부시 의정부동","1**","대","일반상업지역","12m미만","202411","15","84.20","17,000","","-","중개거래","경기 의정부시"
"50","경기도 의정부시 자일동","6*","전","개발제한구역","25m미만","202411","15","1124.00","46,000","","-","직거래","-"
"51","경기도 의정부시 자일동","6*","전","개발제한구역","-","202411","15","46.00","2,000","","-","직거래","-"
"52","경기도 의정부시 금오동","4**","대","제2종일반주거지역","25m이상","202411","15","21.00","6,000","지분","-","직거래","-"
"53","경기도 의정부시 호원동","4**","대","제2종일반주거지역","25m이상","202411","15","277.84","92,000","지분","-","중개거래","경기 의정부시"
"54","경기도 의정부시 녹양동","2**","전","개발제한구역","-","202411","13","968.50","64,700","지분","-","중개거래","경기 의정부시"
"55","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","33.06","990","지분","-","직거래","-"
"56","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","314.05","9,405","지분","-","직거래","-"
"57","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","661.16","4,000","지분","-","직거래","-"
"58","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","33.06","1,100","지분","-","직거래","-"
"59","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","42.98","1,287","지분","-","직거래","-"
"60","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","46.28","1,274","지분","-","직거래","-"
"61","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","19.83","594","지분","-","직거래","-"
"62","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","155.37","4,200","지분","-","직거래","-"
"63","경기도 의정부시 장암동","산7*","임야","개발제한구역","-","202411","11","16.53","550","지분","-","직거래","-"
"64","경기도 의정부시 신곡동","1**","전","제1종일반주거지역","8m미만","202411","09","82.00","6,053","","-","중개거래","경기 의정부시"
"65","경기도 의정부시 신곡동","1**","대","제1종일반주거지역","8m미만","202411","09","59.00","4,398","","-","중개거래","경기 의정부시"
"66","경기도 의정부시 신곡동","1**","대","제1종일반주거지역","8m미만","202411","09","136.00","7,943","","-","중개거래","경기 의정부시"
"67","경기도 의정부시 신곡동","1**","전","제1종일반주거지역","-","202411","09","20.00","1,439","","-","중개거래","경기 의정부시"
"68","경기도 의정부시 고산동","산3*","임야","개발제한구역","8m미만","202411","07","2379.20","54,365","지분","-","직거래","-"
"69","경기도 의정부시 고산동","산3*","임야","개발제한구역","8m미만","202411","07","2379.20","54,365","지분","-","직거래","-"
