"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 고양시 덕양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 고양시 덕양구 성사동","6**","임야","개발제한구역","25m이상","202412","30","3175.00","39,100","지분","-","직거래","-"
"2","경기도 고양시 덕양구 현천동","1**","임야","자연녹지지역","-","202412","30","843.00","19,635","지분","-","중개거래","경기 고양시 덕양구"
"3","경기도 고양시 덕양구 신평동","2*","답","개발제한구역","-","202412","30","20.00","1,200","지분","-","직거래","-"
"4","경기도 고양시 덕양구 내유동","1**","답","생산관리지역","-","202412","30","198.00","4,700","","-","직거래","-"
"5","경기도 고양시 덕양구 내유동","1**","답","생산관리지역","-","202412","30","165.00","4,000","","-","직거래","-"
"6","경기도 고양시 덕양구 내유동","1**","답","생산관리지역","-","202412","30","54.00","1,300","","-","직거래","-"
"7","경기도 고양시 덕양구 내유동","1**","대","계획관리지역","-","202412","30","54.00","3,000","","-","직거래","-"
"8","경기도 고양시 덕양구 관산동","1**","도로","제2종일반주거지역","-","202412","27","1.13","100","지분","-","직거래","-"
"9","경기도 고양시 덕양구 관산동","1**","도로","제2종일반주거지역","-","202412","27","1.66","100","지분","-","직거래","-"
"10","경기도 고양시 덕양구 관산동","4*","전","계획관리지역","-","202412","26","113.00","11,900","","20250123","중개거래","경기 고양시 일산동구"
