"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-01-01 ~ 2021-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 의왕시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 의왕시 청계동","5**","전","개발제한구역","-","202112","30","17.00","1,945","","-","중개거래","경기 의왕시"
"2","경기도 의왕시 청계동","5**","전","개발제한구역","-","202112","30","787.00","90,055","","-","중개거래","경기 의왕시"
"3","경기도 의왕시 청계동","4**","전","개발제한구역","-","202112","28","106.00","4,000","","-","직거래","-"
"4","경기도 의왕시 오전동","3**","도로","일반상업지역","8m미만","202112","27","9.00","6,000","","-","직거래","-"
"5","경기도 의왕시 왕곡동","4**","대","제1종일반주거지역","8m미만","202112","27","408.00","87,000","","-","중개거래","경기 의왕시"
"6","경기도 의왕시 내손동","2**","대","개발제한구역","8m미만","202112","27","26.19","6,999","지분","-","직거래","-"
"7","경기도 의왕시 오전동","7**","전","개발제한구역","-","202112","25","1070.00","97,105","지분","-","중개거래","경기 의왕시"
"8","경기도 의왕시 오전동","7**","전","개발제한구역","-","202112","25","1693.00","153,643","지분","-","중개거래","경기 의왕시"
"9","경기도 의왕시 청계동","3**","답","개발제한구역","-","202112","24","278.00","14,500","","-","중개거래","경기 의왕시"
"10","경기도 의왕시 내손동","5**","구거","자연녹지지역","-","202112","24","5.00","745","","-","직거래","-"
"11","경기도 의왕시 오전동","7**","전","개발제한구역","-","202112","22","439.00","39,840","지분","-","중개거래","경기 의왕시"
