"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 부천시 오정구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 부천시 오정구 여월동","4*","대","제2종일반주거지역","25m이상","201812","31","758.30","370,000","","-","-","-"
"2","경기도 부천시 오정구 대장동","1**","전","제1종일반주거지역","-","201812","29","61.20","10,210","지분","-","-","-"
"3","경기도 부천시 오정구 대장동","1**","전","제1종일반주거지역","8m미만","201812","29","600.00","41,790","지분","-","-","-"
"4","경기도 부천시 오정구 대장동","6**","답","개발제한구역","8m미만","201812","26","519.00","15,000","","-","-","-"
"5","경기도 부천시 오정구 대장동","6**","전","개발제한구역","8m미만","201812","26","498.00","15,000","","-","-","-"
"6","경기도 부천시 오정구 대장동","2**","대","제1종일반주거지역","8m미만","201812","18","122.00","12,400","","-","-","-"
"7","경기도 부천시 오정구 원종동","2**","대","제2종일반주거지역","25m이상","201812","12","16.00","5,720","","-","-","-"
"8","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","8m미만","201812","07","120.50","47,088","","-","-","-"
"9","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","8m미만","201812","07","150.10","58,650","","-","-","-"
"10","경기도 부천시 오정구 삼정동","3**","대","제2종일반주거지역","25m이상","201812","07","49.30","19,262","","-","-","-"
"11","경기도 부천시 오정구 오정동","4**","답","개발제한구역","8m미만","201812","06","1983.00","55,200","","-","-","-"
