"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 고양시 덕양구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 고양시 덕양구 오금동","4**","전","개발제한구역","8m미만","202012","31","859.00","16,900","지분","-","-","-"
"2","경기도 고양시 덕양구 현천동","3**","대","제1종일반주거지역","8m미만","202012","31","48.00","14,000","","-","-","-"
"3","경기도 고양시 덕양구 토당동","7**","답","개발제한구역","8m미만","202012","31","972.00","15,000","지분","20210107","-","-"
"4","경기도 고양시 덕양구 지축동","2**","대","개발제한구역","8m미만","202012","31","672.00","30,400","지분","-","-","-"
"5","경기도 고양시 덕양구 내곡동","2**","전","개발제한구역","8m미만","202012","31","1951.00","59,000","","-","-","-"
"6","경기도 고양시 덕양구 내곡동","1**","답","개발제한구역","8m미만","202012","31","2162.00","55,000","","-","-","-"
"7","경기도 고양시 덕양구 원당동","9**","대","개발제한구역","8m미만","202012","31","384.00","34,848","","-","-","-"
"8","경기도 고양시 덕양구 삼송동","1**","도로","제1종일반주거지역","8m미만","202012","31","9.00","2,500","지분","-","-","-"
"9","경기도 고양시 덕양구 원당동","9**","대","개발제한구역","8m미만","202012","31","382.00","11,352","","-","-","-"
"10","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","31","66.00","1,060","지분","-","-","-"
"11","경기도 고양시 덕양구 삼송동","1**","대","제1종일반주거지역","8m미만","202012","31","5.40","1,300","지분","-","-","-"
"12","경기도 고양시 덕양구 삼송동","1**","도로","제1종일반주거지역","8m미만","202012","31","1.29","700","지분","-","-","-"
"13","경기도 고양시 덕양구 강매동","*","전","개발제한구역","8m미만","202012","30","2610.00","55,332","","-","-","-"
"14","경기도 고양시 덕양구 원흥동","7**","주차장","제1종일반주거지역","12m미만","202012","30","1114.50","250,000","","-","-","-"
"15","경기도 고양시 덕양구 원흥동","4**","대","개발제한구역","12m미만","202012","30","190.00","45,300","","-","-","-"
"16","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","30","66.00","1,060","지분","-","-","-"
"17","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","30","49.00","795","지분","-","-","-"
"18","경기도 고양시 덕양구 원흥동","4**","전","개발제한구역","12m미만","202012","30","4548.00","165,200","","-","-","-"
"19","경기도 고양시 덕양구 원흥동","4**","전","개발제한구역","-","202012","30","673.00","24,800","","-","-","-"
"20","경기도 고양시 덕양구 대자동","산2*","임야","계획관리지역","12m미만","202012","29","806.00","31,000","","-","-","-"
"21","경기도 고양시 덕양구 오금동","6**","대","제1종일반주거지역","-","202012","29","491.20","87,000","","-","-","-"
"22","경기도 고양시 덕양구 동산동","6*","도로","제1종일반주거지역","8m미만","202012","29","13.28","1,000","지분","-","-","-"
"23","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","29","33.00","530","지분","-","-","-"
"24","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","29","330.00","5,300","지분","-","-","-"
"25","경기도 고양시 덕양구 행신동","1***","주차장","제2종일반주거지역","25m이상","202012","29","4338.50","474,904","","-","-","-"
"26","경기도 고양시 덕양구 신원동","2**","답","개발제한구역","8m미만","202012","29","435.00","17,000","","20210414","-","-"
"27","경기도 고양시 덕양구 지축동","3**","전","개발제한구역","-","202012","28","911.00","39,600","","20210130","-","-"
"28","경기도 고양시 덕양구 내곡동","2**","전","자연녹지지역","-","202012","28","330.00","27,000","","-","-","-"
"29","경기도 고양시 덕양구 내곡동","2**","전","자연녹지지역","-","202012","28","330.00","27,000","","-","-","-"
"30","경기도 고양시 덕양구 효자동","1**","답","개발제한구역","8m미만","202012","28","712.00","50,000","","-","-","-"
"31","경기도 고양시 덕양구 효자동","1**","전","개발제한구역","-","202012","28","617.00","50,000","","-","-","-"
"32","경기도 고양시 덕양구 벽제동","1**","임야","개발제한구역","8m미만","202012","27","49.00","1,310","지분","20210126","-","-"
"33","경기도 고양시 덕양구 벽제동","1**","임야","자연녹지지역","-","202012","27","49.00","1,310","지분","-","-","-"
"34","경기도 고양시 덕양구 선유동","5*","임야","용도미지정","-","202012","27","990.00","3,800","지분","-","-","-"
"35","경기도 고양시 덕양구 성사동","4**","대","제2종일반주거지역","12m미만","202012","26","60.10","38,600","지분","-","-","-"
"36","경기도 고양시 덕양구 토당동","3*","대","제1종일반주거지역","8m미만","202012","26","30.63","24,500","","-","-","-"
"37","경기도 고양시 덕양구 신원동","3**","전","개발제한구역","8m미만","202012","26","1650.00","50,000","지분","20210401","-","-"
"38","경기도 고양시 덕양구 대자동","6**","전","계획관리지역","-","202012","25","1147.00","16,000","","-","-","-"
"39","경기도 고양시 덕양구 대자동","6**","대","계획관리지역","8m미만","202012","25","760.00","25,000","","-","-","-"
"40","경기도 고양시 덕양구 관산동","2**","전","제2종일반주거지역","25m이상","202012","25","603.00","107,000","","-","-","-"
"41","경기도 고양시 덕양구 대자동","8**","전","개발제한구역","-","202012","24","2119.00","51,280","","-","-","-"
"42","경기도 고양시 덕양구 성사동","1**","도로","제1종일반주거지역","8m미만","202012","24","114.00","13,600","","-","-","-"
"43","경기도 고양시 덕양구 대자동","2**","전","개발제한구역","25m미만","202012","24","1653.00","105,000","지분","-","-","-"
"44","경기도 고양시 덕양구 오금동","2**","대","개발제한구역","-","202012","24","2129.00","38,000","","-","-","-"
"45","경기도 고양시 덕양구 성사동","1**","전","제1종일반주거지역","8m미만","202012","24","21.00","3,400","","-","-","-"
"46","경기도 고양시 덕양구 성사동","1**","대","제1종일반주거지역","8m미만","202012","24","5.00","1,000","","-","-","-"
"47","경기도 고양시 덕양구 현천동","7*","임야","개발제한구역","-","202012","24","165.00","3,284","지분","-","-","-"
"48","경기도 고양시 덕양구 주교동","산5*","임야","개발제한구역","-","202012","24","26.00","424","지분","-","-","-"
"49","경기도 고양시 덕양구 벽제동","4**","임야","자연녹지지역","-","202012","23","21.00","1,023","","-","-","-"
"50","경기도 고양시 덕양구 벽제동","4**","대","자연녹지지역","12m미만","202012","23","274.00","13,345","","-","-","-"
"51","경기도 고양시 덕양구 벽제동","4**","대","자연녹지지역","-","202012","23","122.00","5,942","","-","-","-"
"52","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","291.00","88,028","","-","-","-"
"53","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","205.00","75,655","","-","-","-"
"54","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","88.00","26,620","","-","-","-"
"55","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","52.00","3,775","","-","-","-"
"56","경기도 고양시 덕양구 삼송동","1**","답","용도미지정","-","202012","23","6.00","436","","-","-","-"
"57","경기도 고양시 덕양구 삼송동","1**","답","용도미지정","-","202012","23","325.00","98,313","","-","-","-"
"58","경기도 고양시 덕양구 삼송동","1**","답","용도미지정","-","202012","23","308.00","113,667","","-","-","-"
"59","경기도 고양시 덕양구 삼송동","1**","답","용도미지정","-","202012","23","42.00","3,119","","-","-","-"
"60","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","138.00","10,019","","-","-","-"
"61","경기도 고양시 덕양구 삼송동","1**","답","제1종일반주거지역","-","202012","23","78.00","5,663","","-","-","-"
"62","경기도 고양시 덕양구 성사동","1**","전","자연녹지지역","-","202012","23","131.00","12,800","","-","-","-"
"63","경기도 고양시 덕양구 신원동","산*","임야","자연녹지지역","-","202012","23","1365.00","19,970","지분","-","-","-"
"64","경기도 고양시 덕양구 신원동","산*","임야","용도미지정","-","202012","23","3.00","30","지분","-","-","-"
"65","경기도 고양시 덕양구 관산동","5**","잡종지","계획관리지역","8m미만","202012","23","41.00","1,240","지분","-","-","-"
"66","경기도 고양시 덕양구 내곡동","6*","임야","자연녹지지역","-","202012","23","1000.00","30,270","","-","-","-"
"67","경기도 고양시 덕양구 벽제동","산1*","임야","자연녹지지역","-","202012","23","41157.00","31,050","","-","-","-"
"68","경기도 고양시 덕양구 벽제동","산1*","임야","자연녹지지역","8m미만","202012","23","23802.00","17,950","","-","-","-"
"69","경기도 고양시 덕양구 벽제동","4**","임야","자연녹지지역","-","202012","23","248.00","12,078","","-","-","-"
"70","경기도 고양시 덕양구 벽제동","4**","임야","자연녹지지역","8m미만","202012","23","461.00","22,452","","-","-","-"
