"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2018-01-01 ~ 2018-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 안산시 상록구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 안산시 상록구 양상동","산3*","임야","개발제한구역","-","201812","31","165.00","725","지분","-","-","-"
"2","경기도 안산시 상록구 장하동","6*","전","개발제한구역","8m미만","201812","31","825.00","17,500","","-","-","-"
"3","경기도 안산시 상록구 팔곡이동","1**","답","개발제한구역","8m미만","201812","29","2717.00","42,744","","-","-","-"
"4","경기도 안산시 상록구 일동","산5*","임야","보전녹지지역","-","201812","28","1617.00","18,600","","-","-","-"
"5","경기도 안산시 상록구 일동","산5*","임야","보전녹지지역","8m미만","201812","28","1617.00","18,600","","-","-","-"
"6","경기도 안산시 상록구 일동","산5*","임야","보전녹지지역","8m미만","201812","28","2072.00","30,000","","-","-","-"
"7","경기도 안산시 상록구 일동","산5*","임야","보전녹지지역","8m미만","201812","28","5114.00","55,800","","-","-","-"
"8","경기도 안산시 상록구 팔곡일동","1*","대","개발제한구역","8m미만","201812","27","32.50","1,580","지분","-","-","-"
"9","경기도 안산시 상록구 사동","산1**","임야","보전녹지지역","-","201812","27","109.00","1,779","지분","-","-","-"
"10","경기도 안산시 상록구 팔곡일동","1*","목장용지","개발제한구역","8m미만","201812","27","148.00","2,180","지분","-","-","-"
"11","경기도 안산시 상록구 팔곡일동","산3*","임야","개발제한구역","8m미만","201812","27","165.00","2,400","지분","-","-","-"
"12","경기도 안산시 상록구 팔곡일동","1*","대","개발제한구역","8m미만","201812","27","46.00","2,240","지분","-","-","-"
"13","경기도 안산시 상록구 팔곡일동","1*","잡종지","개발제한구역","8m미만","201812","27","69.50","1,030","지분","-","-","-"
"14","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","27","165.00","1,579","지분","-","-","-"
"15","경기도 안산시 상록구 팔곡일동","1*","잡종지","개발제한구역","8m미만","201812","27","43.00","640","지분","-","-","-"
"16","경기도 안산시 상록구 부곡동","1*","전","개발제한구역","8m미만","201812","26","660.00","14,000","","-","-","-"
"17","경기도 안산시 상록구 사사동","4**","전","개발제한구역","8m미만","201812","26","6298.00","94,380","","-","-","-"
"18","경기도 안산시 상록구 사사동","4**","전","개발제한구역","8m미만","201812","26","1127.00","4,830","","-","-","-"
"19","경기도 안산시 상록구 사사동","산7*","임야","개발제한구역","8m미만","201812","26","19835.00","90,000","","-","-","-"
"20","경기도 안산시 상록구 사사동","4**","도로","개발제한구역","8m미만","201812","26","172.00","790","","-","-","-"
"21","경기도 안산시 상록구 팔곡이동","3**","답","개발제한구역","8m미만","201812","26","1137.00","19,400","","-","-","-"
"22","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","992.00","2,651","지분","-","-","-"
"23","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","165.00","1,589","지분","-","-","-"
"24","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","66.00","638","지분","-","-","-"
"25","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","165.00","1,579","지분","-","-","-"
"26","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","330.00","3,190","지분","-","-","-"
"27","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","330.00","3,158","지분","-","-","-"
"28","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","82.00","766","지분","-","-","-"
"29","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","661.00","6,316","지분","-","-","-"
"30","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","330.00","3,158","지분","-","-","-"
"31","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","165.00","1,595","지분","-","-","-"
"32","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","1653.00","4,418","지분","-","-","-"
"33","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","188.00","1,818","지분","-","-","-"
"34","경기도 안산시 상록구 사사동","산1*","임야","개발제한구역","8m미만","201812","24","495.00","4,737","지분","-","-","-"
"35","경기도 안산시 상록구 사사동","산1*","임야","자연녹지지역","-","201812","24","198.00","1,895","지분","-","-","-"
