"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2019-01-01 ~ 2019-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 군포시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 군포시 속달동","2**","전","개발제한구역","8m미만","201912","31","289.00","48,000","","-","-","-"
"2","경기도 군포시 속달동","2**","전","자연녹지지역","-","201912","31","557.00","22,500","","-","-","-"
"3","경기도 군포시 부곡동","산1**","임야","자연녹지지역","-","201912","27","1490.00","8,200","","-","-","-"
"4","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","165.28","895","지분","-","-","-"
"5","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","330.57","1,790","지분","-","-","-"
"6","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","661.14","3,580","지분","-","-","-"
"7","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","185.12","1,002","지분","-","-","-"
"8","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","66.11","358","지분","-","-","-"
"9","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","99.17","537","지분","-","-","-"
"10","경기도 군포시 당정동","2*","잡종지","일반공업지역","25m이상","201912","26","20.00","4,690","","-","-","-"
"11","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","347.10","1,880","지분","-","-","-"
"12","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","26","198.34","1,074","지분","-","-","-"
"13","경기도 군포시 도마교동","4**","대","제1종일반주거지역","25m미만","201912","23","396.20","87,000","","-","-","-"
"14","경기도 군포시 둔대동","산1**","임야","개발제한구역","-","201912","20","12653.00","20,000","","-","-","-"
"15","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","19","165.00","895","지분","-","-","-"
"16","경기도 군포시 속달동","2*","전","개발제한구역","-","201912","16","198.00","4,800","","-","-","-"
"17","경기도 군포시 속달동","2*","대","제1종일반주거지역","8m미만","201912","16","278.00","37,700","","-","-","-"
"18","경기도 군포시 속달동","2*","전","제1종일반주거지역","8m미만","201912","16","972.00","72,500","","-","-","-"
"19","경기도 군포시 대야미동","1**","전","개발제한구역","8m미만","201912","13","3289.00","131,000","","-","-","-"
"20","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","12","99.17","537","지분","-","-","-"
"21","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","12","66.11","358","지분","-","-","-"
"22","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","10","1167.00","2,130","지분","-","-","-"
"23","경기도 군포시 속달동","2*","전","제1종일반주거지역","8m미만","201912","10","222.00","21,700","","-","-","-"
"24","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","05","198.34","1,074","지분","-","-","-"
"25","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","05","102.47","555","지분","-","-","-"
"26","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","04","677.00","1,237","지분","-","-","-"
"27","경기도 군포시 대야미동","2**","임야","개발제한구역","8m미만","201912","04","68.00","768","지분","-","-","-"
"28","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201912","03","611.00","1,117","지분","-","-","-"
"29","경기도 군포시 대야미동","5**","전","개발제한구역","-","201911","21","3024.00","68,000","","-","-","-"
"30","경기도 군포시 산본동","산1**","임야","개발제한구역","-","201911","18","33.50","358","지분","-","-","-"
"31","경기도 군포시 당정동","1**","도로","일반공업지역","8m미만","201911","15","22.00","1,000","","-","-","-"
"32","경기도 군포시 산본동","1***","공장용지","준공업지역","25m미만","201911","06","633.90","280,000","","-","-","-"
"33","경기도 군포시 산본동","1***","공장용지","준공업지역","25m미만","201911","06","633.80","280,000","","-","-","-"
"34","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201911","04","66.12","358","지분","-","-","-"
"35","경기도 군포시 산본동","산1**","임야","개발제한구역","-","201911","01","10433.00","43,036","","-","-","-"
"36","경기도 군포시 산본동","산1**","임야","개발제한구역","-","201911","01","26578.12","103,389","지분","-","-","-"
"37","경기도 군포시 대야미동","산*","임야","개발제한구역","8m미만","201910","26","483.00","6,500","","-","-","-"
"38","경기도 군포시 산본동","5*","대","제2종일반주거지역","25m이상","201910","25","604.70","280,000","","-","-","-"
"39","경기도 군포시 속달동","4**","답","자연녹지지역","8m미만","201910","24","1120.00","39,000","","-","-","-"
"40","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201910","23","19537.00","34,031","","-","-","-"
"41","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201910","22","19537.00","22,000","","-","-","-"
"42","경기도 군포시 도마교동","4**","대","제1종일반주거지역","25m미만","201910","21","277.40","64,600","","-","-","-"
"43","경기도 군포시 속달동","2**","전","개발제한구역","8m미만","201910","17","662.00","44,140","","-","-","-"
"44","경기도 군포시 속달동","2**","전","자연녹지지역","-","201910","15","407.00","23,860","","-","-","-"
"45","경기도 군포시 속달동","2**","전","자연녹지지역","-","201910","15","297.00","23,000","","-","-","-"
"46","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201910","14","33.05","179","지분","-","-","-"
"47","경기도 군포시 당동","7**","대","일반상업지역","8m미만","201910","14","205.90","96,567","","-","-","-"
"48","경기도 군포시 산본동","산4*","임야","개발제한구역","-","201910","11","102.50","555","지분","-","-","-"
"49","경기도 군포시 대야미동","4**","대","개발제한구역","-","201910","01","1131.00","21,000","","-","-","-"
"50","경기도 군포시 대야미동","4*","전","개발제한구역","8m미만","201909","26","559.00","24,000","","-","-","-"
"51","경기도 군포시 도마교동","6*","전","개발제한구역","-","201909","26","179.00","3,500","","-","-","-"
"52","경기도 군포시 도마교동","4**","대","제1종일반주거지역","25m미만","201909","25","257.70","50,000","","-","-","-"
"53","경기도 군포시 대야미동","4**","답","개발제한구역","-","201908","30","1539.00","41,500","","-","-","-"
"54","경기도 군포시 대야미동","4**","전","개발제한구역","-","201908","29","46.00","1,582","","-","-","-"
"55","경기도 군포시 당정동","1***","공장용지","일반공업지역","25m미만","201908","16","272.00","76,385","지분","-","-","-"
"56","경기도 군포시 둔대동","1**","전","개발제한구역","25m미만","201908","14","1959.00","68,000","","-","-","-"
"57","경기도 군포시 부곡동","산1**","임야","개발제한구역","12m미만","201908","07","1144.00","12,110","","-","-","-"
"58","경기도 군포시 대야미동","1**","전","개발제한구역","8m미만","201907","25","1154.00","40,000","","-","-","-"
"59","경기도 군포시 부곡동","8**","전","용도미지정","-","201907","23","200.00","10,000","","-","-","-"
"60","경기도 군포시 둔대동","4**","전","개발제한구역","8m미만","201907","21","1044.00","30,000","","-","-","-"
"61","경기도 군포시 둔대동","4**","전","개발제한구역","8m미만","201907","21","900.00","25,000","","-","-","-"
"62","경기도 군포시 산본동","9*","도로","제2종일반주거지역","8m미만","201907","18","5.80","500","","-","-","-"
"63","경기도 군포시 대야미동","5**","임야","개발제한구역","-","201907","10","48.00","1,000","","-","-","-"
"64","경기도 군포시 대야미동","5**","전","개발제한구역","-","201907","10","1080.00","24,657","","-","-","-"
"65","경기도 군포시 대야미동","5**","임야","개발제한구역","12m미만","201907","10","188.00","4,200","","-","-","-"
"66","경기도 군포시 당정동","1**","공장용지","일반공업지역","25m미만","201907","08","815.00","307,500","","-","-","-"
"67","경기도 군포시 도마교동","4**","대","용도미지정","25m미만","201907","01","806.10","310,000","","-","-","-"
"68","경기도 군포시 도마교동","4**","대","용도미지정","25m미만","201907","01","783.60","230,000","","-","-","-"
"69","경기도 군포시 둔대동","3**","답","개발제한구역","-","201906","28","922.00","30,000","","-","-","-"
"70","경기도 군포시 둔대동","3**","답","개발제한구역","8m미만","201906","28","1861.00","36,000","","-","-","-"
"71","경기도 군포시 대야미동","4**","전","개발제한구역","-","201906","19","89.00","2,380","","-","-","-"
"72","경기도 군포시 대야미동","4**","전","개발제한구역","-","201906","19","129.00","3,570","","-","-","-"
"73","경기도 군포시 부곡동","산1**","임야","개발제한구역","-","201906","12","330.00","3,890","지분","-","-","-"
"74","경기도 군포시 당정동","5**","도로","일반공업지역","8m미만","201906","07","91.11","1,890","지분","-","-","-"
"75","경기도 군포시 대야미동","2**","전","용도미지정","-","201906","06","311.00","24,421","지분","-","-","-"
"76","경기도 군포시 당동","1**","전","일반공업지역","25m미만","201906","05","194.00","59,814","","-","-","-"
"77","경기도 군포시 당동","1**","전","일반공업지역","25m이상","201906","05","57.00","17,574","","-","-","-"
"78","경기도 군포시 당동","1**","전","일반공업지역","25m미만","201906","05","6579.00","1,896,064","","-","-","-"
"79","경기도 군포시 당동","1**","대","일반공업지역","25m이상","201906","05","33.00","10,175","","-","-","-"
"80","경기도 군포시 당동","1**","대","일반공업지역","25m미만","201906","05","36172.00","11,152,539","","-","-","-"
