"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2019-01-01 ~ 2019-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 의왕시"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 의왕시 오전동","5*","답","준주거지역","12m미만","201912","31","96.00","27,325","","-","-","-"
"2","경기도 의왕시 학의동","산1**","임야","개발제한구역","8m미만","201912","31","495.00","19,000","지분","-","-","-"
"3","경기도 의왕시 월암동","1**","임야","개발제한구역","-","201912","31","99.00","1,587","지분","-","-","-"
"4","경기도 의왕시 이동","산7*","임야","개발제한구역","-","201912","31","99.17","1,077","지분","-","-","-"
"5","경기도 의왕시 이동","4*","임야","개발제한구역","25m이상","201912","31","99.00","2,400","지분","-","-","-"
"6","경기도 의왕시 이동","4*","임야","개발제한구역","25m이상","201912","31","330.00","8,000","지분","-","-","-"
"7","경기도 의왕시 고천동","2*","전","개발제한구역","8m미만","201912","31","166.00","6,250","지분","-","-","-"
"8","경기도 의왕시 청계동","3**","임야","개발제한구역","-","201912","30","496.00","5,000","","-","-","-"
"9","경기도 의왕시 오전동","3**","도로","일반상업지역","8m미만","201912","30","12.00","3,500","","-","-","-"
"10","경기도 의왕시 왕곡동","5**","도로","용도미지정","-","201912","30","572.00","12,400","","-","-","-"
"11","경기도 의왕시 월암동","1**","임야","개발제한구역","-","201912","30","66.00","899","지분","-","-","-"
"12","경기도 의왕시 월암동","1**","임야","개발제한구역","-","201912","30","99.00","1,571","지분","-","-","-"
"13","경기도 의왕시 초평동","4**","전","개발제한구역","8m미만","201912","29","33.06","790","지분","-","-","-"
"14","경기도 의왕시 초평동","4**","전","개발제한구역","8m미만","201912","29","202.22","4,832","지분","-","-","-"
"15","경기도 의왕시 초평동","4**","과수원","개발제한구역","-","201912","29","1087.00","25,977","지분","-","-","-"
"16","경기도 의왕시 초평동","4**","과수원","개발제한구역","-","201912","29","943.00","26,725","지분","-","-","-"
"17","경기도 의왕시 초평동","4**","과수원","개발제한구역","-","201912","29","942.00","22,525","지분","-","-","-"
"18","경기도 의왕시 월암동","*","임야","개발제한구역","-","201912","27","139.00","2,283","지분","-","-","-"
"19","경기도 의왕시 학의동","7*","전","제1종일반주거지역","-","201912","26","64.00","10,000","","-","-","-"
"20","경기도 의왕시 월암동","1**","임야","개발제한구역","-","201912","24","99.00","1,571","지분","-","-","-"
"21","경기도 의왕시 월암동","*","임야","개발제한구역","-","201912","24","165.00","2,333","지분","-","-","-"
"22","경기도 의왕시 월암동","*","임야","개발제한구역","-","201912","24","99.00","1,631","지분","-","-","-"
