"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-01-01 ~ 2020-12-31"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 화성시 병점구"
"읍면동 : "
"면적 : "
"금액선택 : null ~ null 만원"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"1","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","31","14.00","3,962","","-","-","-"
"2","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","31","92.00","26,038","","-","-","-"
"3","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","165.00","17,617","","-","-","-"
"4","경기도 화성시 병점구 송산동","2**","전","제1종일반주거지역","12m미만","202012","30","1166.00","124,493","","-","-","-"
"5","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","709.00","75,700","","-","-","-"
"6","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","251.00","26,799","","-","-","-"
"7","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","163.00","17,403","","-","-","-"
"8","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","60.00","6,406","","-","-","-"
"9","경기도 화성시 병점구 송산동","2**","묘지","제2종일반주거지역","-","202012","30","44.00","4,698","","-","-","-"
"10","경기도 화성시 병점구 송산동","2**","묘지","제2종일반주거지역","-","202012","30","29.00","3,096","","-","-","-"
"11","경기도 화성시 병점구 송산동","2**","답","제2종일반주거지역","-","202012","30","6.00","641","","-","-","-"
"12","경기도 화성시 병점구 송산동","2**","답","제2종일반주거지역","8m미만","202012","30","305.00","32,565","","-","-","-"
"13","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","14.00","3,962","","-","-","-"
"14","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","50.00","5,338","","-","-","-"
"15","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","405.00","43,242","","-","-","-"
"16","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","25m미만","202012","30","66.00","7,047","","-","-","-"
"17","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","843.00","90,007","","-","-","-"
"18","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","908.00","96,947","","-","-","-"
"19","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","126.00","16,000","","-","-","-"
"20","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","92.00","26,038","","-","-","-"
"21","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","25m미만","202012","30","3.00","320","","-","-","-"
"22","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","25m미만","202012","30","356.00","38,010","","-","-","-"
"23","경기도 화성시 병점구 송산동","2**","전","제1종일반주거지역","25m미만","202012","30","361.00","38,544","","-","-","-"
"24","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","120.00","12,812","","-","-","-"
"25","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","567.00","60,538","","-","-","-"
"26","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","405.00","43,242","","-","-","-"
"27","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","139.00","14,841","","-","-","-"
"28","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","63.00","6,726","","-","-","-"
"29","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","176.00","18,791","","-","-","-"
"30","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","235.00","25,091","","-","-","-"
"31","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","25m미만","202012","30","1422.00","151,826","","-","-","-"
"32","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","807.00","86,163","","-","-","-"
"33","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","99.00","10,570","","-","-","-"
"34","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","85.00","9,075","","-","-","-"
"35","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","16.00","1,708","","-","-","-"
"36","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","12m미만","202012","30","1266.00","135,170","","-","-","-"
"37","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","20.00","2,135","","-","-","-"
"38","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","219.00","23,383","","-","-","-"
"39","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","8m미만","202012","30","1349.00","144,032","","-","-","-"
"40","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","347.00","37,049","","-","-","-"
"41","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","170.00","18,151","","-","-","-"
"42","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","74.00","7,901","","-","-","-"
"43","경기도 화성시 병점구 송산동","2**","전","제2종일반주거지역","-","202012","30","18.00","1,922","","-","-","-"
"44","경기도 화성시 병점구 병점동","5**","도로","제2종일반주거지역","12m미만","202012","29","6.33","200","지분","-","-","-"
"45","경기도 화성시 병점구 안녕동","1**","임야","자연녹지지역","8m미만","202012","29","81.00","6,750","","20210415","-","-"
"46","경기도 화성시 병점구 반정동","2**","도로","계획관리지역","8m미만","202012","29","78.00","3,750","","-","-","-"
"47","경기도 화성시 병점구 반정동","2**","도로","계획관리지역","8m미만","202012","29","12.00","550","","-","-","-"
"48","경기도 화성시 병점구 기산동","1**","답","생산녹지지역","-","202012","27","361.00","32,760","","-","-","-"
"49","경기도 화성시 병점구 진안동","2**","답","자연녹지지역","8m미만","202012","27","742.00","69,580","","-","-","-"
"50","경기도 화성시 병점구 기산동","1**","답","생산녹지지역","25m미만","202012","27","144.00","13,280","","-","-","-"
"51","경기도 화성시 병점구 기산동","1**","답","생산녹지지역","-","202012","27","1017.00","93,840","","-","-","-"
"52","경기도 화성시 병점구 기산동","9*","답","생산녹지지역","8m미만","202012","27","1474.00","133,765","","-","-","-"
"53","경기도 화성시 병점구 기산동","9*","답","생산녹지지역","8m미만","202012","27","1868.00","169,520","","-","-","-"
"54","경기도 화성시 병점구 기산동","1**","답","생산녹지지역","8m미만","202012","27","695.00","63,070","","-","-","-"
