batch,시군구,법정동,번지(마스킹),기간거래수,지분비율,주지목,메모
광명·시흥,경기도 광명시,옥길동,4**,54,100.0,임야,광명·시흥 PoC — 핵심 매집 시그니처
2차 3기,고양시 덕양구,화전동,산6*,41,100.0,임야,행신동 100% 지분 클러스터
광명·시흥,경기도 시흥시,무지내동,산*,31,100.0,임야,광명·시흥 PoC — 핵심 매집 시그니처
2024 후보지,서초구,내곡동,산1*,22,100.0,임야,서리풀 내곡동 80% 지분 대지
광명·시흥,경기도 시흥시,과림동,산7* (동일자 18건),18,100.0,임야,동일자 클러스터 202007-03
광명·시흥,경기도 광명시,옥길동,4** (동일자 17건),17,100.0,임야,동일자 클러스터 202006-23
광명·시흥,경기도 광명시,가학동,산9* (동일자 17건),17,100.0,임야,동일자 클러스터 202004-10
광명·시흥,경기도 광명시,가학동,산9* (동일자 17건),17,100.0,임야,동일자 클러스터 202004-09
광명·시흥,경기도 광명시,옥길동,4** (동일자 16건),16,100.0,임야,동일자 클러스터 202006-24
광명·시흥,경기도 시흥시,과림동,산7* (동일자 12건),12,100.0,임야,동일자 클러스터 202007-02
광명·시흥,경기도 광명시,노온사동,4** (동일자 11건),11,100.0,임야,동일자 클러스터 202005-19
광명·시흥,경기도 시흥시,금이동,4** (동일자 11건),11,100.0,전,동일자 클러스터 202007-13
2024 후보지,고양시 덕양구,토당동,3** (동일자 11건),11,100.0,도로,동일자 클러스터 202404-03
광명·시흥,경기도 광명시,노온사동,산2** (동일자 10건),10,100.0,임야,동일자 클러스터 202006-16
광명·시흥,경기도 광명시,가학동,산9* (동일자 8건),8,100.0,임야,동일자 클러스터 202007-02
2차 3기,고양시 덕양구,행신동,2** (동일자 7건),7,100.0,대,동일자 클러스터 201901-18
2024 후보지,서초구,내곡동,산1* (동일자 6건),6,100.0,임야,동일자 클러스터 202408-21
2024 후보지,고양시 덕양구,주교동,5** (동일자 6건),6,100.0,대,동일자 클러스터 202407-24
2024 후보지,서초구,내곡동,산1* (동일자 5건),5,100.0,임야,동일자 클러스터 202408-22
2024 후보지,고양시 덕양구,주교동,5** (동일자 5건),5,100.0,대,동일자 클러스터 202410-26
2024 후보지,고양시 덕양구,주교동,5** (동일자 5건),5,100.0,대,동일자 클러스터 202406-29
광명·시흥,경기도 광명시,가학동,산9*,111,99.0,임야,광명·시흥 PoC — 핵심 매집 시그니처
광명·시흥,경기도 시흥시,과림동,산7*,133,98.0,임야,광명·시흥 PoC — 핵심 매집 시그니처
광명·시흥,경기도 광명시,가학동,산1**,29,97.0,임야,광명·시흥 PoC — 핵심 매집 시그니처
광명·시흥,경기도 시흥시,과림동,산7* (동일자 26건),26,96.0,임야,동일자 클러스터 202005-06
광명·시흥,경기도 광명시,가학동,산9* (동일자 21건),21,95.0,임야,동일자 클러스터 202004-08
2024 후보지,고양시 덕양구,주교동,5**,96,94.0,대,서리풀 내곡동 80% 지분 대지
2차 3기,고양시 덕양구,향동동,3**,32,94.0,임야,행신동 100% 지분 클러스터
광명·시흥,경기도 광명시,옥길동,4** (동일자 13건),13,92.0,임야,동일자 클러스터 202007-06
광명·시흥,경기도 시흥시,과림동,산7* (동일자 13건),13,92.0,임야,동일자 클러스터 202005-07
